Song_id,Quadrant,in_balanced_train,in_balanced_validate,in_balanced_test,in_complete_train,in_complete_validate,in_complete_test
L148-154,Q4,True,False,False,True,False,False
L149-106,Q3,True,False,False,True,False,False
L150-124,Q1,True,False,False,True,False,False
L151-111,Q1,True,False,False,True,False,False
L152-114,Q1,True,False,False,True,False,False
L153-99,Q2,True,False,False,True,False,False
L154-119,Q1,True,False,False,True,False,False
L155-117,Q1,True,False,False,True,False,False
L156-100,Q3,True,False,False,True,False,False
L157-115,Q1,True,False,False,True,False,False
L159-138,Q4,True,False,False,True,False,False
L160-155,Q1,True,False,False,True,False,False
L161,Q4,True,False,False,True,False,False
L162,Q1,True,False,False,True,False,False
L163,Q3,False,False,False,True,False,False
L164,Q4,False,False,False,True,False,False
L165,Q4,False,False,False,True,False,False
L166,Q1,True,False,False,True,False,False
L167,Q1,True,False,False,True,False,False
L168,Q4,True,False,False,True,False,False
L169,Q4,False,False,False,True,False,False
L170,Q3,True,False,False,True,False,False
L171,Q3,True,False,False,True,False,False
L172,Q2,True,False,False,True,False,False
L174,Q2,True,False,False,True,False,False
L175,Q3,True,False,False,True,False,False
L176,Q2,True,False,False,True,False,False
L177,Q2,True,False,False,True,False,False
L178,Q4,True,False,False,True,False,False
L179,Q4,True,False,False,True,False,False
L180,Q4,False,False,False,True,False,False
L181,Q3,True,False,False,True,False,False
L182,Q2,True,False,False,True,False,False
L183,Q2,True,False,False,True,False,False
L184,Q3,True,False,False,True,False,False
L185,Q3,True,False,False,True,False,False
L186,Q4,True,False,False,True,False,False
L187,Q1,True,False,False,True,False,False
L188,Q3,False,False,False,True,False,False
L189,Q4,False,False,False,True,False,False
L190,Q4,True,False,False,True,False,False
L191,Q3,True,False,False,True,False,False
L192,Q4,True,False,False,True,False,False
L193,Q2,True,False,False,True,False,False
L194,Q2,True,False,False,True,False,False
L195,Q3,True,False,False,True,False,False
L196,Q1,True,False,False,True,False,False
L197,Q4,False,False,False,True,False,False
L198,Q4,True,False,False,False,False,True
L199,Q3,True,False,False,True,False,False
L200,Q3,True,False,False,True,False,False
MT0000008995,Q3,True,False,False,True,False,False
MT0000011357,Q2,True,False,False,False,True,False
MT0000017389,Q3,True,False,False,False,True,False
MT0000022649,Q3,True,False,False,True,False,False
MT0000024499,Q3,True,False,False,True,False,False
MT0000026571,Q4,True,False,False,False,True,False
MT0000027422,Q3,True,False,False,True,False,False
MT0000030834,Q4,True,False,False,True,False,False
MT0000031210,Q3,False,True,False,False,True,False
MT0000034999,Q3,True,False,False,True,False,False
MT0000038502,Q2,True,False,False,True,False,False
MT0000040773,Q1,False,False,True,False,False,True
MT0000042939,Q2,False,False,False,True,False,False
MT0000043184,Q3,True,False,False,True,False,False
MT0000044741,Q3,False,False,True,False,False,True
MT0000045345,Q1,False,True,False,False,True,False
MT0000045773,Q3,False,False,False,True,False,False
MT0000048600,Q4,True,False,False,True,False,False
MT0000052463,Q2,False,False,False,False,True,False
MT0000054766,Q3,True,False,False,True,False,False
MT0000059269,Q3,False,False,True,False,False,True
MT0000063684,Q4,True,False,False,True,False,False
MT0000066236,Q2,True,False,False,True,False,False
MT0000066421,Q4,False,True,False,False,True,False
MT0000067251,Q3,False,False,False,True,False,False
MT0000080053,Q1,False,True,False,False,True,False
MT0000082188,Q3,True,False,False,True,False,False
MT0000086428,Q3,True,False,False,True,False,False
MT0000089238,Q2,True,False,False,True,False,False
MT0000089410,Q4,False,True,False,False,True,False
MT0000091401,Q1,False,False,True,False,False,True
MT0000091781,Q3,False,False,True,False,False,True
MT0000092637,Q3,True,False,False,True,False,False
MT0000093583,Q1,True,False,False,True,False,False
MT0000095414,Q3,False,False,True,False,False,True
MT0000097948,Q4,True,False,False,True,False,False
MT0000103049,Q4,False,True,False,False,True,False
MT0000103874,Q1,False,False,True,False,False,True
MT0000105492,Q1,True,False,False,True,False,False
MT0000106285,Q4,False,False,False,True,False,False
MT0000111068,Q3,True,False,False,True,False,False
MT0000117176,Q4,True,False,False,True,False,False
MT0000119701,Q4,False,False,True,False,False,True
MT0000119987,Q1,True,False,False,True,False,False
MT0000124779,Q3,True,False,False,True,False,False
MT0000128573,Q1,False,True,False,False,True,False
MT0000133200,Q2,False,False,True,False,False,True
MT0000135916,Q4,True,False,False,True,False,False
MT0000139242,Q1,True,False,False,True,False,False
MT0000143859,Q4,False,False,False,True,False,False
MT0000144160,Q4,True,False,False,True,False,False
MT0000144424,Q2,False,False,False,True,False,False
MT0000145509,Q2,True,False,False,True,False,False
MT0000146284,Q4,False,False,True,False,False,True
MT0000146966,Q1,True,False,False,True,False,False
MT0000147182,Q4,True,False,False,True,False,False
MT0000147647,Q2,False,False,False,True,False,False
MT0000151451,Q4,True,False,False,True,False,False
MT0000151529,Q3,True,False,False,True,False,False
MT0000153361,Q3,True,False,False,True,False,False
MT0000162219,Q3,True,False,False,True,False,False
MT0000164441,Q4,False,False,True,False,False,True
MT0000169174,Q2,True,False,False,True,False,False
MT0000169836,Q2,False,False,False,True,False,False
MT0000171421,Q3,False,False,False,True,False,False
MT0000171852,Q3,True,False,False,True,False,False
MT0000174580,Q1,True,False,False,True,False,False
MT0000175597,Q3,False,False,True,False,False,True
MT0000177878,Q4,True,False,False,True,False,False
MT0000185453,Q3,True,False,False,True,False,False
MT0000185601,Q1,False,False,True,False,False,True
MT0000186467,Q2,True,False,False,True,False,False
MT0000190640,Q2,True,False,False,True,False,False
MT0000191766,Q1,True,False,False,True,False,False
MT0000192913,Q3,True,False,False,True,False,False
MT0000192982,Q3,False,False,True,False,False,True
MT0000195705,Q4,False,False,True,False,False,True
MT0000197431,Q1,True,False,False,True,False,False
MT0000202045,Q4,False,False,True,False,False,True
MT0000214287,Q3,False,False,True,False,False,True
MT0000216849,Q2,False,False,True,False,False,True
MT0000218346,Q4,False,False,True,False,False,True
MT0000225806,Q1,True,False,False,True,False,False
MT0000231442,Q2,True,False,False,True,False,False
MT0000231784,Q2,False,True,False,False,True,False
MT0000239675,Q4,True,False,False,True,False,False
MT0000245808,Q1,True,False,False,True,False,False
MT0000252574,Q1,True,False,False,True,False,False
MT0000255724,Q3,False,False,True,False,False,True
MT0000258223,Q4,True,False,False,True,False,False
MT0000258646,Q2,True,False,False,False,False,True
MT0000259235,Q3,True,False,False,False,False,True
MT0000265621,Q4,False,False,True,False,False,True
MT0000267636,Q3,True,False,False,True,False,False
MT0000268576,Q3,False,False,True,False,False,True
MT0000268701,Q4,True,False,False,True,False,False
MT0000270200,Q2,False,True,False,False,True,False
MT0000271454,Q1,True,False,False,True,False,False
MT0000271970,Q2,True,False,False,True,False,False
MT0000273374,Q4,False,True,False,False,True,False
MT0000277032,Q4,True,False,False,True,False,False
MT0000277633,Q3,False,True,False,False,True,False
MT0000283043,Q2,True,False,False,False,False,True
MT0000287606,Q4,True,False,False,True,False,False
MT0000287921,Q2,True,False,False,True,False,False
MT0000289116,Q3,True,False,False,True,False,False
MT0000292000,Q4,True,False,False,True,False,False
MT0000293345,Q3,True,False,False,True,False,False
MT0000299291,Q3,True,False,False,True,False,False
MT0000310204,Q1,False,False,True,False,False,True
MT0000312152,Q3,True,False,False,True,False,False
MT0000315363,Q1,True,False,False,True,False,False
MT0000315392,Q3,True,False,False,True,False,False
MT0000316110,Q2,False,True,False,False,True,False
MT0000318206,Q2,True,False,False,False,True,False
MT0000318279,Q4,True,False,False,True,False,False
MT0000320757,Q3,True,False,False,True,False,False
MT0000321394,Q2,True,False,False,True,False,False
MT0000321824,Q4,True,False,False,True,False,False
MT0000325093,Q1,False,False,True,False,False,True
MT0000326433,Q3,True,False,False,True,False,False
MT0000335310,Q4,True,False,False,True,False,False
MT0000345937,Q4,False,False,False,True,False,False
MT0000348553,Q4,False,False,True,False,False,True
MT0000353361,Q3,True,False,False,True,False,False
MT0000360851,Q3,True,False,False,True,False,False
MT0000361419,Q4,False,False,False,True,False,False
MT0000369188,Q1,True,False,False,True,False,False
MT0000370694,Q4,False,True,False,True,False,False
MT0000371043,Q3,False,False,False,True,False,False
MT0000380307,Q4,True,False,False,True,False,False
MT0000380971,Q3,True,False,False,True,False,False
MT0000391566,Q4,False,False,True,False,False,True
MT0000398595,Q4,True,False,False,True,False,False
MT0000407837,Q4,False,False,False,True,False,False
MT0000408441,Q3,False,True,False,False,True,False
MT0000409922,Q4,True,False,False,True,False,False
MT0000412380,Q3,False,False,False,True,False,False
MT0000419956,Q2,True,False,False,True,False,False
MT0000421504,Q4,False,False,True,False,False,True
MT0000425270,Q2,False,False,False,True,False,False
MT0000426880,Q1,True,False,False,True,False,False
MT0000431226,Q3,False,False,False,True,False,False
MT0000436815,Q4,True,False,False,True,False,False
MT0000437534,Q3,True,False,False,True,False,False
MT0000441552,Q2,True,False,False,True,False,False
MT0000446304,Q3,False,False,True,False,False,True
MT0000447281,Q3,True,False,False,True,False,False
MT0000447539,Q4,True,False,False,True,False,False
MT0000456939,Q2,False,False,True,False,False,True
MT0000460480,Q4,True,False,False,True,False,False
MT0000463371,Q2,True,False,False,True,False,False
MT0000475876,Q1,True,False,False,True,False,False
MT0000481304,Q4,True,False,False,True,False,False
MT0000487439,Q3,True,False,False,True,False,False
MT0000489470,Q4,True,False,False,False,False,True
MT0000495842,Q4,True,False,False,True,False,False
MT0000497520,Q1,True,False,False,True,False,False
MT0000502143,Q2,False,False,False,True,False,False
MT0000515256,Q3,False,False,True,False,False,True
MT0000518591,Q1,True,False,False,True,False,False
MT0000523576,Q4,True,False,False,False,True,False
MT0000526302,Q4,True,False,False,False,False,True
MT0000526867,Q3,True,False,False,True,False,False
MT0000534539,Q3,False,False,True,False,False,True
MT0000540286,Q1,False,False,True,False,False,True
MT0000546446,Q1,False,True,False,False,True,False
MT0000547065,Q3,True,False,False,True,False,False
MT0000549945,Q4,False,True,False,False,True,False
MT0000550961,Q4,True,False,False,True,False,False
MT0000552259,Q3,True,False,False,True,False,False
MT0000553622,Q3,False,False,True,False,False,True
MT0000556349,Q1,True,False,False,True,False,False
MT0000564376,Q3,True,False,False,True,False,False
MT0000567692,Q3,True,False,False,True,False,False
MT0000570966,Q3,True,False,False,True,False,False
MT0000580738,Q3,False,False,False,True,False,False
MT0000592222,Q3,True,False,False,True,False,False
MT0000599398,Q4,False,False,True,False,False,True
MT0000603187,Q3,False,False,True,False,False,True
MT0000603561,Q3,True,False,False,True,False,False
MT0000604234,Q2,False,False,True,True,False,False
MT0000606812,Q3,True,False,False,True,False,False
MT0000615489,Q1,True,False,False,True,False,False
MT0000619767,Q3,True,False,False,False,False,True
MT0000621840,Q1,True,False,False,True,False,False
MT0000630628,Q4,True,False,False,False,False,True
MT0000633351,Q4,False,False,True,False,False,True
MT0000638424,Q4,True,False,False,True,False,False
MT0000638634,Q4,False,True,False,False,True,False
MT0000643201,Q3,True,False,False,True,False,False
MT0000647818,Q4,True,False,False,True,False,False
MT0000652082,Q4,False,False,True,False,False,True
MT0000661250,Q3,False,False,True,False,False,True
MT0000661847,Q4,False,False,True,False,False,True
MT0000664362,Q1,True,False,False,True,False,False
MT0000666429,Q2,False,False,False,True,False,False
MT0000667625,Q1,True,False,False,True,False,False
MT0000670865,Q4,False,False,True,False,False,True
MT0000672880,Q1,True,False,False,True,False,False
MT0000685324,Q3,True,False,False,True,False,False
MT0000685538,Q3,False,True,False,False,True,False
MT0000685552,Q3,True,False,False,True,False,False
MT0000688115,Q3,True,False,False,True,False,False
MT0000688312,Q3,True,False,False,True,False,False
MT0000689110,Q2,False,False,False,True,False,False
MT0000690637,Q1,True,False,False,True,False,False
MT0000694316,Q2,False,False,False,True,False,False
MT0000704913,Q1,True,False,False,True,False,False
MT0000707663,Q4,False,False,True,False,False,True
MT0000712071,Q1,True,False,False,True,False,False
MT0000714708,Q1,False,False,True,False,False,True
MT0000720686,Q3,True,False,False,True,False,False
MT0000721873,Q1,True,False,False,True,False,False
MT0000723464,Q4,True,False,False,True,False,False
MT0000724357,Q2,True,False,False,False,False,True
MT0000727738,Q3,True,False,False,True,False,False
MT0000728975,Q3,True,False,False,True,False,False
MT0000734482,Q4,False,False,True,False,False,True
MT0000735056,Q2,True,False,False,True,False,False
MT0000737118,Q1,True,False,False,True,False,False
MT0000740862,Q4,True,False,False,True,False,False
MT0000741489,Q2,True,False,False,True,False,False
MT0000744293,Q2,True,False,False,True,False,False
MT0000747666,Q3,True,False,False,False,False,True
MT0000753074,Q4,False,False,True,False,False,True
MT0000754511,Q4,True,False,False,True,False,False
MT0000762097,Q4,False,False,True,False,False,True
MT0000763275,Q3,True,False,False,True,False,False
MT0000764951,Q3,True,False,False,True,False,False
MT0000766316,Q1,False,False,True,False,False,True
MT0000775053,Q4,False,False,True,False,False,True
MT0000776108,Q3,False,False,True,False,False,True
MT0000778102,Q2,True,False,False,True,False,False
MT0000780401,Q3,True,False,False,True,False,False
MT0000783307,Q2,True,False,False,False,False,True
MT0000787002,Q3,True,False,False,True,False,False
MT0000789330,Q2,True,False,False,True,False,False
MT0000807741,Q1,True,False,False,True,False,False
MT0000808227,Q2,True,False,False,True,False,False
MT0000811092,Q4,True,False,False,True,False,False
MT0000811743,Q3,True,False,False,True,False,False
MT0000814289,Q3,True,False,False,True,False,False
MT0000814565,Q3,True,False,False,True,False,False
MT0000825920,Q4,True,False,False,True,False,False
MT0000829531,Q2,True,False,False,True,False,False
MT0000829765,Q3,True,False,False,True,False,False
MT0000832464,Q3,False,False,True,False,False,True
MT0000844574,Q4,False,False,False,True,False,False
MT0000847731,Q3,True,False,False,True,False,False
MT0000848769,Q4,True,False,False,True,False,False
MT0000850050,Q3,True,False,False,True,False,False
MT0000850957,Q2,False,False,False,True,False,False
MT0000851865,Q1,True,False,False,True,False,False
MT0000852582,Q2,True,False,False,True,False,False
MT0000853072,Q3,False,False,True,False,False,True
MT0000854722,Q1,True,False,False,True,False,False
MT0000863232,Q4,False,False,True,False,False,True
MT0000863543,Q1,True,False,False,True,False,False
MT0000871290,Q1,False,False,True,False,False,True
MT0000874328,Q1,True,False,False,True,False,False
MT0000874482,Q2,False,True,False,False,True,False
MT0000875199,Q3,True,False,False,True,False,False
MT0000875520,Q1,False,False,True,False,False,True
MT0000878275,Q4,True,False,False,True,False,False
MT0000886390,Q1,False,False,True,False,False,True
MT0000888329,Q4,True,False,False,True,False,False
MT0000889229,Q3,False,False,True,False,False,True
MT0000892306,Q2,True,False,False,True,False,False
MT0000895003,Q2,True,False,False,True,False,False
MT0000895905,Q4,True,False,False,True,False,False
MT0000900387,Q2,True,False,False,True,False,False
MT0000900995,Q4,True,False,False,True,False,False
MT0000901959,Q4,False,False,True,False,False,True
MT0000903225,Q4,False,False,True,False,False,True
MT0000906888,Q4,True,False,False,True,False,False
MT0000910270,Q2,False,False,False,True,False,False
MT0000920227,Q4,True,False,False,True,False,False
MT0000921193,Q3,True,False,False,True,False,False
MT0000927561,Q2,True,False,False,True,False,False
MT0000931402,Q3,True,False,False,True,False,False
MT0000934613,Q2,False,False,False,True,False,False
MT0000938758,Q4,True,False,False,True,False,False
MT0000948111,Q1,True,False,False,True,False,False
MT0000950090,Q3,False,False,True,False,False,True
MT0000951610,Q2,False,False,False,True,False,False
MT0000954088,Q1,True,False,False,True,False,False
MT0000956340,Q2,False,False,True,True,False,False
MT0000968326,Q1,True,False,False,True,False,False
MT0000971800,Q1,True,False,False,True,False,False
MT0000983092,Q3,True,False,False,True,False,False
MT0000984023,Q2,False,True,False,False,True,False
MT0000992846,Q1,True,False,False,True,False,False
MT0001014012,Q4,True,False,False,True,False,False
MT0001016068,Q3,True,False,False,True,False,False
MT0001020011,Q4,False,True,False,False,True,False
MT0001030436,Q3,False,False,False,True,False,False
MT0001032211,Q4,False,False,True,False,False,True
MT0001038803,Q4,True,False,False,True,False,False
MT0001042055,Q4,True,False,False,True,False,False
MT0001043721,Q2,True,False,False,True,False,False
MT0001046395,Q1,True,False,False,True,False,False
MT0001053268,Q1,True,False,False,True,False,False
MT0001058887,Q4,False,True,False,False,True,False
MT0001062700,Q3,True,False,False,True,False,False
MT0001073553,Q1,True,False,False,True,False,False
MT0001095298,Q3,False,True,False,False,True,False
MT0001096019,Q1,True,False,False,True,False,False
MT0001101467,Q2,True,False,False,True,False,False
MT0001102610,Q3,True,False,False,True,False,False
MT0001104467,Q3,False,False,True,False,False,True
MT0001106114,Q4,False,True,False,True,False,False
MT0001109401,Q4,False,True,False,False,True,False
MT0001115644,Q3,True,False,False,True,False,False
MT0001116511,Q2,False,False,True,True,False,False
MT0001117815,Q1,True,False,False,True,False,False
MT0001121577,Q4,False,True,False,False,True,False
MT0001126926,Q4,False,False,False,True,False,False
MT0001134958,Q3,False,True,False,False,True,False
MT0001137053,Q3,False,False,True,False,False,True
MT0001141875,Q3,True,False,False,True,False,False
MT0001144930,Q4,True,False,False,True,False,False
MT0001152165,Q4,False,True,False,False,True,False
MT0001152664,Q3,True,False,False,True,False,False
MT0001153847,Q1,False,True,False,False,True,False
MT0001157069,Q3,False,False,False,True,False,False
MT0001168323,Q4,True,False,False,True,False,False
MT0001169715,Q1,True,False,False,True,False,False
MT0001183783,Q4,True,False,False,True,False,False
MT0001189913,Q1,False,True,False,False,True,False
MT0001193202,Q2,True,False,False,True,False,False
MT0001193331,Q1,True,False,False,True,False,False
MT0001193971,Q3,True,False,False,True,False,False
MT0001194164,Q3,True,False,False,True,False,False
MT0001195535,Q4,True,False,False,True,False,False
MT0001196736,Q3,True,False,False,True,False,False
MT0001202986,Q1,True,False,False,True,False,False
MT0001217651,Q1,False,False,True,False,False,True
MT0001227219,Q4,True,False,False,True,False,False
MT0001230193,Q2,False,False,False,True,False,False
MT0001230298,Q3,True,False,False,True,False,False
MT0001236335,Q3,False,True,False,False,True,False
MT0001236337,Q3,True,False,False,True,False,False
MT0001243097,Q4,False,False,True,False,False,True
MT0001256033,Q3,True,False,False,True,False,False
MT0001265984,Q3,True,False,False,True,False,False
MT0001266436,Q3,True,False,False,True,False,False
MT0001267997,Q4,True,False,False,True,False,False
MT0001276044,Q2,False,False,False,True,False,False
MT0001277283,Q3,False,True,False,False,True,False
MT0001284282,Q1,True,False,False,True,False,False
MT0001284801,Q3,True,False,False,True,False,False
MT0001287647,Q2,False,False,True,True,False,False
MT0001292451,Q1,True,False,False,True,False,False
MT0001297031,Q3,True,False,False,True,False,False
MT0001298241,Q3,True,False,False,True,False,False
MT0001301827,Q4,False,True,False,False,True,False
MT0001305550,Q3,True,False,False,True,False,False
MT0001309422,Q3,True,False,False,True,False,False
MT0001313815,Q4,True,False,False,True,False,False
MT0001318718,Q1,True,False,False,True,False,False
MT0001321444,Q3,True,False,False,True,False,False
MT0001321861,Q2,False,True,False,False,True,False
MT0001323755,Q4,True,False,False,True,False,False
MT0001331047,Q3,False,True,False,False,True,False
MT0001332899,Q3,True,False,False,True,False,False
MT0001335920,Q1,True,False,False,True,False,False
MT0001347462,Q4,True,False,False,True,False,False
MT0001353828,Q2,True,False,False,True,False,False
MT0001356476,Q1,False,False,True,False,False,True
MT0001356637,Q3,False,False,True,False,False,True
MT0001361436,Q2,True,False,False,True,False,False
MT0001362313,Q3,False,True,False,False,True,False
MT0001368531,Q4,True,False,False,True,False,False
MT0001369981,Q3,True,False,False,True,False,False
MT0001370627,Q4,True,False,False,True,False,False
MT0001372070,Q3,False,False,True,False,False,True
MT0001376988,Q2,True,False,False,False,False,True
MT0001377616,Q4,True,False,False,True,False,False
MT0001377742,Q2,False,False,False,True,False,False
MT0001380360,Q2,True,False,False,False,True,False
MT0001383277,Q2,False,False,True,False,False,True
MT0001385947,Q3,True,False,False,True,False,False
MT0001387574,Q4,False,False,False,True,False,False
MT0001393272,Q3,True,False,False,True,False,False
MT0001395462,Q3,True,False,False,True,False,False
MT0001397431,Q2,False,False,False,True,False,False
MT0001404677,Q3,True,False,False,True,False,False
MT0001435061,Q3,True,False,False,True,False,False
MT0001436086,Q4,True,False,False,True,False,False
MT0001453285,Q3,False,True,False,False,True,False
MT0001473110,Q2,True,False,False,True,False,False
MT0001473158,Q2,False,False,True,False,False,True
MT0001477169,Q4,True,False,False,True,False,False
MT0001481574,Q1,True,False,False,True,False,False
MT0001486960,Q1,False,True,False,False,True,False
MT0001494812,Q4,False,False,True,False,False,True
MT0001497786,Q3,False,False,True,False,False,True
MT0001509368,Q1,True,False,False,True,False,False
MT0001509615,Q3,True,False,False,True,False,False
MT0001510617,Q2,True,False,False,True,False,False
MT0001511433,Q4,True,False,False,True,False,False
MT0001514284,Q1,True,False,False,True,False,False
MT0001515028,Q4,True,False,False,True,False,False
MT0001518335,Q3,False,False,True,False,False,True
MT0001521543,Q1,False,True,False,False,True,False
MT0001522985,Q3,True,False,False,True,False,False
MT0001523435,Q3,False,False,True,False,False,True
MT0001526514,Q1,True,False,False,True,False,False
MT0001528638,Q4,True,False,False,True,False,False
MT0001531856,Q1,True,False,False,True,False,False
MT0001531906,Q4,True,False,False,True,False,False
MT0001535201,Q3,False,False,False,True,False,False
MT0001542457,Q2,False,False,False,True,False,False
MT0001547111,Q3,False,True,False,False,True,False
MT0001553573,Q2,True,False,False,False,True,False
MT0001554870,Q2,True,False,False,True,False,False
MT0001566152,Q3,False,False,True,False,False,True
MT0001578777,Q2,True,False,False,True,False,False
MT0001583214,Q2,False,False,True,False,False,True
MT0001590201,Q2,False,False,True,False,False,True
MT0001590644,Q2,True,False,False,True,False,False
MT0001594582,Q4,False,False,True,False,False,True
MT0001595082,Q2,False,True,False,False,True,False
MT0001598710,Q3,True,False,False,False,False,True
MT0001607665,Q4,True,False,False,True,False,False
MT0001608358,Q4,True,False,False,True,False,False
MT0001608499,Q3,False,False,True,False,False,True
MT0001609043,Q2,False,False,False,True,False,False
MT0001609615,Q4,True,False,False,True,False,False
MT0001610102,Q1,True,False,False,True,False,False
MT0001612417,Q3,True,False,False,True,False,False
MT0001613887,Q2,True,False,False,True,False,False
MT0001615005,Q2,False,False,True,False,False,True
MT0001624303,Q4,False,False,True,False,False,True
MT0001634305,Q3,True,False,False,True,False,False
MT0001638394,Q4,False,False,True,False,False,True
MT0001639011,Q1,True,False,False,True,False,False
MT0001640581,Q4,False,False,False,True,False,False
MT0001641165,Q2,False,True,False,False,True,False
MT0001642019,Q2,True,False,False,True,False,False
MT0001644811,Q4,True,False,False,True,False,False
MT0001646256,Q3,True,False,False,True,False,False
MT0001647040,Q4,False,False,False,True,False,False
MT0001648703,Q2,True,False,False,True,False,False
MT0001653728,Q4,True,False,False,True,False,False
MT0001658982,Q3,False,False,False,True,False,False
